iter	Passed	Remaining
0	1	127
1	2	110
2	3	98
3	4	104
4	5	99
5	5	93
6	6	89
7	7	85
8	8	81
9	8	79
10	10	82
11	11	83
12	12	83
13	13	82
14	14	80
15	15	79
16	15	77
17	16	75
18	17	73
19	17	71
20	18	70
21	19	68
22	20	67
23	20	66
24	21	65
25	22	63
26	23	62
27	24	63
28	25	63
29	26	62
30	28	62
31	28	61
32	29	60
33	30	59
34	31	58
35	32	57
36	32	56
37	33	54
38	34	53
39	35	52
40	36	51
41	36	50
42	37	49
43	37	48
44	38	47
45	39	46
46	40	45
47	41	45
48	43	45
49	44	44
50	45	43
51	45	42
52	46	41
53	47	40
54	47	39
55	48	38
56	49	37
57	50	36
58	51	35
59	51	34
60	52	33
61	53	32
62	54	31
63	55	31
64	56	30
65	57	29
66	58	28
67	59	27
68	59	26
69	60	25
70	61	25
71	61	24
72	62	23
73	63	22
74	64	21
75	64	20
76	65	19
77	66	18
78	66	17
79	67	16
80	67	15
81	68	15
82	69	14
83	70	13
84	71	12
85	72	11
86	72	10
87	73	10
88	74	9
89	75	8
90	75	7
91	76	6
92	77	5
93	78	4
94	79	4
95	79	3
96	80	2
97	81	1
98	81	0
99	82	0
